url,product_id,category
https://www.amazon.sa/-/en/Glasses-Tactical-Military-Shooting-Protective/dp/B07M83Y496/ref=zg_bs_17007473031_sccl_17/260-0057919-4346154?psc=1,B07M83Y496,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Lews-Fishing-American-Speed-Spinning/dp/B07JNH13M6/ref=zg_bs_17007473031_sccl_25/260-0057919-4346154?psc=1,B07JNH13M6,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Fishing-Include-Bearing-Connector-Accessory/dp/B08N1KRLBW/ref=zg_bs_17007473031_sccl_14/260-0057919-4346154?psc=1,B08N1KRLBW,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Emerson-Airsoft-Military-Tactical-Uniform/dp/B09YR98S35/ref=zg_bs_17007473031_sccl_8/260-0057919-4346154?psc=1,B09YR98S35,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Travel-Spinning-Fishing-Rod-Lightweight/dp/B09SHP8WKN/ref=zg_bs_17007473031_sccl_30/260-0057919-4346154?psc=1,B09SHP8WKN,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Morelian-Portable-Lightweight-Fiberglass-Sections/dp/B09V2PZBB5/ref=zg_bs_17007473031_sccl_5/260-0057919-4346154?psc=1,B09V2PZBB5,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/Flying-Colors-Premium-000ct-Bottle/dp/B000RF8L3Q/ref=zg_bs_17007473031_sccl_18/260-0057919-4346154?psc=1,B000RF8L3Q,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/1000m-strong-multifilament-braided-fishing/dp/B07MJXQTWB/ref=zg_bs_17007473031_sccl_29/260-0057919-4346154?psc=1,B07MJXQTWB,"{'name': 'sports-goods', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/sports-goods/17007473031/'}"
https://www.amazon.sa/-/en/ProCase-Transparent-Trifold-Protective-Shockproof/dp/B0B8GN3TXM/ref=zg_bs_electronics_sccl_29/260-0057919-4346154?psc=1,B0B8GN3TXM,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Anker-Powercore-Select-20000-Online/dp/B089JY762D/ref=zg_bs_electronics_sccl_14/260-0057919-4346154?psc=1,B089JY762D,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Samsung-EP-TA800-Travel-Adapter-Charging/dp/B08R1JKKM5/ref=zg_bs_electronics_sccl_4/260-0057919-4346154?psc=1,B08R1JKKM5,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
https://www.amazon.sa/-/en/Security-Monitor-Surveillance-Detection-Tracking/dp/B0867X1QGP/ref=zg_bs_electronics_sccl_3/260-0057919-4346154?psc=1,B0867X1QGP,"{'name': 'electronics', 'url': 'https://www.amazon.sa/-/en/gp/bestsellers/electronics/'}"
